year,climate_t2m_domain_mean_c,climate_t2m_domain_std_monthly_c,climate_t2m_domain_min_monthly_c,climate_t2m_domain_max_monthly_c
2000,24.838045,0.9516419,23.544922,26.274994
2001,24.855484,0.91759366,23.585876,26.172485
2002,25.00187,0.9045116,23.741943,26.302551
2003,25.170279,0.9837461,23.805817,26.653107
2004,25.034327,0.9328251,23.719574,26.55832
2005,25.244463,1.1448752,23.72583,26.957733
2006,25.150734,0.9427399,23.788544,26.506622
2007,25.150858,1.040554,23.714417,26.732697
2008,25.114136,0.8056387,23.940918,26.408508
2009,25.27241,0.8761619,23.995758,26.668365
2010,25.480225,1.0957103,24.029053,27.113892
2011,25.146225,0.9796708,23.878296,26.63559
2012,25.016554,0.88934624,23.746735,26.479492
2013,25.17637,1.020465,23.722565,26.686829
2014,25.164154,0.8966338,23.80008,26.4281
2015,25.291319,0.84551406,24.082764,26.624847
2016,25.599968,1.0564563,24.185913,27.479095
2017,25.479303,0.9481049,24.12912,26.929535
2018,25.295069,0.79010004,24.1185,26.386261
2019,25.581617,1.0809782,24.125977,27.254913
2020,25.576124,1.0954356,24.111877,27.213501
2021,25.624361,0.7894411,24.412537,26.78653
2022,25.396719,1.0275924,23.867249,27.01416
